title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
EI 007AA 05M,EI 007AA 05M,EI007AA05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.192,0.192,0.034,0.34,0.0034,0.034,3.4,34,0.019,0.019,0.0033,0.033,0.00034,0.0034,0.34,3.4,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,52.107,52.1,0.007,0.007,0.18,0.08,Standard Loops,0.025,0.025,0.111,0.0113,11.3,0.005,0.005,0.0222,0.00227,2.27,0.257,0.257,1.143,0.1166,116.6,1.709,1.709,43.41,4.341,0.372,0.372,9.45,0.945,Factory Option,Pre-coated with Tin,0.00014,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 05S,EI 007AA 05S,EI007AA05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.16,0.16,0.028,0.28,0.0029,0.029,2.9,29,0.016,0.016,0.0028,0.028,0.00029,0.0029,0.29,2.9,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,52.107,52.1,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.215,0.215,0.956,0.0975,97.5,1.716,1.716,43.59,4.359,0.372,0.372,9.45,0.945,Factory Option,Passivate per ASTM A967,0.00014,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 007AA 05S316,EI 007AA 05S316,EI007AA05S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.078,0.078,1.98,0.198,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.16,0.16,0.028,0.28,0.0029,0.029,2.9,29,0.016,0.016,0.0028,0.028,0.00029,0.0029,0.29,2.9,0.064,0.064,1.63,0.163,REF,Reference,Reference,Reference,52.107,52.1,0.007,0.007,0.18,0.08,Standard Loops,0.021,0.021,0.093,0.0095,9.5,0.004,0.004,0.0178,0.00181,1.81,0.161,0.161,0.716,0.073,73,1.375,1.375,34.93,3.493,0.372,0.372,9.45,0.945,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00014,0.064,0.064,1.63,0.163,Random,0.007,0.007,0.18,0.018
EI 008A 01 M,EI 008A 01 M,EI008A01M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,2,2,0.35,3.5,0.0357,0.357,35.7,357,0.2,0.2,0.035,0.35,0.00357,0.0357,3.57,35.7,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,18.4643,18.5,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,0.46,0.46,11.68,1.168,0.156,0.156,3.96,0.396,Factory Option,Pre-coated with Tin,0.00005,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 01 S,EI 008A 01 S,EI008A01S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,1.67,1.67,0.292,2.92,0.0298,0.298,29.8,298,0.167,0.167,0.0292,0.292,0.00298,0.0298,2.98,29.8,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,18.4274,18.4,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,0.46,0.46,11.68,1.168,0.156,0.156,3.96,0.396,Factory Option,Passivate per ASTM A967,0.00005,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 01 S316,EI 008A 01 S316,EI008A01S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.25,0.25,6.35,0.635,0.02,0.02,0.51,0.051,1.67,1.67,0.292,2.92,0.0298,0.298,29.8,298,0.167,0.167,0.0292,0.292,0.00298,0.0298,2.98,29.8,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,18.4274,18.4,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,0.398,0.398,10.11,1.011,0.156,0.156,3.96,0.396,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00005,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 02 M,EI 008A 02 M,EI008A02M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,1.4,1.4,0.245,2.45,0.025,0.25,25,250,0.14,0.14,0.0245,0.245,0.0025,0.025,2.5,25,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,26.3775,26.4,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,0.603,0.603,15.32,1.532,0.219,0.219,5.56,0.556,Factory Option,Pre-coated with Tin,0.00007,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 02 S,EI 008A 02 S,EI008A02S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,1.17,1.17,0.205,2.05,0.0209,0.209,20.9,209,0.117,0.117,0.0205,0.205,0.00209,0.0209,2.09,20.9,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,26.3024,26.3,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,0.603,0.603,15.32,1.532,0.219,0.219,5.56,0.556,Factory Option,Passivate per ASTM A967,0.00007,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 02 S316,EI 008A 02 S316,EI008A02S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.313,0.313,7.95,0.795,0.02,0.02,0.51,0.051,1.17,1.17,0.205,2.05,0.0209,0.209,20.9,209,0.117,0.117,0.0205,0.205,0.00209,0.0209,2.09,20.9,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,26.3024,26.3,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,0.524,0.524,13.31,1.331,0.219,0.219,5.56,0.556,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00007,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 03 M,EI 008A 03 M,EI008A03M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,1.1,1.1,0.193,1.93,0.0196,0.196,19.6,196,0.11,0.11,0.0193,0.193,0.00196,0.0196,1.96,19.6,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,33.5714,33.6,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,0.745,0.745,18.92,1.892,0.281,0.281,7.14,0.714,Factory Option,Pre-coated with Tin,0.00009,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 03 S,EI 008A 03 S,EI008A03S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.92,0.92,0.161,1.61,0.0164,0.164,16.4,164,0.092,0.092,0.0161,0.161,0.00164,0.0164,1.64,16.4,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,33.4498,33.4,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,0.745,0.745,18.92,1.892,0.281,0.281,7.14,0.714,Factory Option,Passivate per ASTM A967,0.00009,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 03 S316,EI 008A 03 S316,EI008A03S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.375,0.375,9.53,0.953,0.02,0.02,0.51,0.051,0.92,0.92,0.161,1.61,0.0164,0.164,16.4,164,0.092,0.092,0.0161,0.161,0.00164,0.0164,1.64,16.4,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,33.4498,33.4,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,0.644,0.644,16.36,1.636,0.281,0.281,7.14,0.714,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00009,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 04 M,EI 008A 04 M,EI008A04M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.88,0.88,0.154,1.54,0.0157,0.157,15.7,157,0.088,0.088,0.0154,0.154,0.00157,0.0157,1.57,15.7,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,41.9643,42,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,0.908,0.908,23.06,2.306,0.344,0.344,8.74,0.874,Factory Option,Pre-coated with Tin,0.00011,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 04 S,EI 008A 04 S,EI008A04S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.73,0.73,0.128,1.28,0.013,0.13,13,130,0.073,0.073,0.0128,0.128,0.0013,0.013,1.3,13,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,42.1559,42.2,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,0.908,0.908,23.06,2.306,0.344,0.344,8.74,0.874,Factory Option,Passivate per ASTM A967,0.00012,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 04 S316,EI 008A 04 S316,EI008A04S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.438,0.438,11.13,1.113,0.02,0.02,0.51,0.051,0.73,0.73,0.128,1.28,0.013,0.13,13,130,0.073,0.073,0.0128,0.128,0.0013,0.013,1.3,13,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,42.1559,42.2,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,0.777,0.777,19.74,1.974,0.344,0.344,8.74,0.874,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00012,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 05 M,EI 008A 05 M,EI008A05M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.74,0.74,0.13,1.3,0.0132,0.132,13.2,132,0.074,0.074,0.013,0.13,0.00132,0.0132,1.32,13.2,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,49.9035,49.9,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,1.05,1.05,26.67,2.667,0.406,0.406,10.31,1.031,Factory Option,Pre-coated with Tin,0.00013,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 05 S,EI 008A 05 S,EI008A05S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.62,0.62,0.109,1.09,0.0111,0.111,11.1,111,0.062,0.062,0.0109,0.109,0.00111,0.0111,1.11,11.1,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,49.6352,49.6,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,1.05,1.05,26.67,2.667,0.406,0.406,10.31,1.031,Factory Option,Passivate per ASTM A967,0.00014,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 05 S316,EI 008A 05 S316,EI008A05S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.5,0.5,12.7,1.27,0.02,0.02,0.51,0.051,0.62,0.62,0.109,1.09,0.0111,0.111,11.1,111,0.062,0.062,0.0109,0.109,0.00111,0.0111,1.11,11.1,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,49.6352,49.6,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,0.899,0.899,22.83,2.283,0.406,0.406,10.31,1.031,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00014,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 06 M,EI 008A 06 M,EI008A06M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.03,0.03,0.76,0.076,0.57,0.57,0.1,1,0.0102,0.102,10.2,102,0.057,0.057,0.01,0.1,0.00102,0.0102,1.02,10.2,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,64.787,64.8,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,1.345,1.345,34.16,3.416,0.531,0.531,13.49,1.349,Factory Option,Pre-coated with Tin,0.00017,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 06 S,EI 008A 06 S,EI008A06S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.03,0.03,0.76,0.076,0.47,0.47,0.082,0.82,0.0084,0.084,8.4,84,0.047,0.047,0.0082,0.082,0.00084,0.0084,0.84,8.4,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,65.4762,65.5,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,1.345,1.345,34.16,3.416,0.531,0.531,13.49,1.349,Factory Option,Passivate per ASTM A967,0.00018,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 06 S316,EI 008A 06 S316,EI008A06S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.625,0.625,15.88,1.588,0.03,0.03,0.76,0.076,0.47,0.47,0.082,0.82,0.0084,0.084,8.4,84,0.047,0.047,0.0082,0.082,0.00084,0.0084,0.84,8.4,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,65.4762,65.5,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,1.152,1.152,29.26,2.926,0.531,0.531,13.49,1.349,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00018,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 07 M,EI 008A 07 M,EI008A07M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.03,0.03,0.76,0.076,0.46,0.46,0.081,0.81,0.0082,0.082,8.2,82,0.046,0.046,0.0081,0.081,0.00082,0.0082,0.82,8.2,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,80.2796,80.3,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,1.64,1.64,41.66,4.166,0.656,0.656,16.66,1.666,Factory Option,Pre-coated with Tin,0.00021,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 07 S,EI 008A 07 S,EI008A07S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.03,0.03,0.76,0.076,0.38,0.38,0.067,0.67,0.0068,0.068,6.8,68,0.038,0.038,0.0067,0.067,0.00068,0.0068,0.68,6.8,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,80.9838,81,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,1.64,1.64,41.66,4.166,0.656,0.656,16.66,1.666,Factory Option,Passivate per ASTM A967,0.00022,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 07 S316,EI 008A 07 S316,EI008A07S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.75,0.75,19.05,1.905,0.03,0.03,0.76,0.076,0.38,0.38,0.067,0.67,0.0068,0.068,6.8,68,0.038,0.038,0.0067,0.067,0.00068,0.0068,0.68,6.8,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,80.9838,81,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,1.401,1.401,35.59,3.559,0.656,0.656,16.66,1.666,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00022,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 08 M,EI 008A 08 M,EI008A08M,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Music Wire,MW,ASTM A228,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.875,0.875,22.23,2.223,0.03,0.03,0.76,0.076,0.38,0.38,0.067,0.67,0.0068,0.068,6.8,68,0.038,0.038,0.0067,0.067,0.00068,0.0068,0.68,6.8,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,97.1805,97.2,0.008,0.008,0.2,0.02,Standard Loops,0.04,0.04,0.178,0.0181,18.1,0.008,0.008,0.0356,0.00363,3.63,0.45,0.45,2.002,0.2041,204.1,1.955,1.955,49.66,4.966,0.781,0.781,19.84,1.984,Factory Option,Pre-coated with Tin,0.00026,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 08 S,EI 008A 08 S,EI008A08S,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel,SS,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.875,0.875,22.23,2.223,0.03,0.03,0.76,0.076,0.32,0.32,0.056,0.56,0.0057,0.057,5.7,57,0.032,0.032,0.0056,0.056,0.00057,0.0057,0.57,5.7,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,96.1682,96.2,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.3748,0.3748,1.667,0.17,170,1.955,1.955,49.66,4.966,0.781,0.781,19.84,1.984,Factory Option,Passivate per ASTM A967,0.00026,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
EI 008A 08 S316,EI 008A 08 S316,EI008A08S316,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Instrument Extension Series (inch),NR,Stainless Steel Type 316,SS 316,ASTM A313,0.063,0.063,1.6,0.16,0.004,0.004,0.1,0.01,0.875,0.875,22.23,2.223,0.03,0.03,0.76,0.076,0.32,0.32,0.056,0.56,0.0057,0.057,5.7,57,0.032,0.032,0.0056,0.056,0.00057,0.0057,0.57,5.7,0.047,0.047,1.19,0.119,REF,Reference,Reference,Reference,96.1682,96.2,0.008,0.008,0.2,0.02,Standard Loops,0.0333,0.0333,0.148,0.0151,15.1,0.00666,0.00666,0.0296,0.00302,3.02,0.281,0.281,1.25,0.1275,127.5,1.649,1.649,41.88,4.188,0.781,0.781,19.84,1.984,Factory Option,Ultrasonically Passivate with Citric Acid for 10 mins At 131 Deg F,0.00026,0.047,0.047,1.19,0.119,Random,0.008,0.008,0.2,0.02
